"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","40,619,972","±94,692"
"Male:","19,481,572","±53,150"
"18 and 19 years","600,235","±10,699"
"20 to 24 years","1,437,100","±15,955"
"25 to 29 years","1,452,578","±15,021"
"30 to 34 years","1,579,503","±15,519"
"35 to 44 years","2,691,937","±18,843"
"45 to 54 years","2,304,117","±15,032"
"55 to 64 years","2,214,781","±10,874"
