"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","202,651,652","±134,561"
"Male:","100,479,265","±73,378"
"18 and 19 years","2,449,867","±14,540"
"20 to 24 years","6,176,238","±17,727"
"25 to 29 years","6,260,982","±18,596"
"30 to 34 years","6,648,095","±14,607"
"35 to 44 years","13,053,644","±22,636"
"45 to 54 years","12,219,520","±19,978"
"55 to 64 years","13,930,477","±15,137"
