"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","19,157,288","±47,492"
"Male:","9,158,011","±29,866"
"18 and 19 years","243,360","±5,918"
"20 to 24 years","592,256","±10,000"
"25 to 29 years","698,585","±8,105"
"30 to 34 years","789,966","±7,455"
"35 to 44 years","1,493,829","±9,040"
"45 to 54 years","1,278,019","±8,458"
"55 to 64 years","1,006,916","±7,736"
