"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","3,341,333","±43,616"
"Male:","1,693,886","±25,839"
"18 and 19 years","61,349","±4,160"
"20 to 24 years","139,057","±5,981"
"25 to 29 years","132,026","±6,195"
"30 to 34 years","138,254","±6,318"
"35 to 44 years","269,702","±9,303"
"45 to 54 years","202,625","±8,511"
"55 to 64 years","166,256","±5,647"
