"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","24,848,381","±158,726"
"Male:","12,702,444","±85,607"
"18 and 19 years","406,930","±11,805"
"20 to 24 years","1,033,445","±16,459"
"25 to 29 years","999,875","±16,274"
"30 to 34 years","1,046,118","±20,574"
"35 to 44 years","2,019,458","±24,361"
"45 to 54 years","1,655,758","±19,172"
"55 to 64 years","1,176,948","±19,117"
