"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","662,417","±22,914"
"Male:","337,871","±13,233"
"18 and 19 years","8,818","±1,763"
"20 to 24 years","29,519","±3,702"
"25 to 29 years","27,570","±3,272"
"30 to 34 years","28,978","±3,408"
"35 to 44 years","53,536","±4,513"
"45 to 54 years","36,622","±3,204"
"55 to 64 years","34,469","±2,920"
